iso3c,Region,Population,Deaths_2020,Deaths_2021
ALB,EURO,2877800,39204,43429
AUS,WPRO,25499881,162333,168685
AUT,EURO,9006400,93476,93175
BEL,EURO,11589616,132411,117500
BGR,EURO,6948445,124823,148203
BRA,AMRO,212559409,1608136,
CHE,EURO,8654618,77613,71519
CHL,AMRO,19116209,126178,137667
COL,AMRO,50882884,301705,
CYP,EURO,1207361,7002,7625
CZE,EURO,10708982,129289,140564
DEU,EURO,83783945,986018,1017531
DNK,EURO,5792203,54790,57363
ECU,AMRO,17643060,126523,
ESP,EURO,46754783,506331,468096
EST,EURO,1326539,15864,18665
FIN,EURO,5540718,56926,58944
FRA,EURO,65273512,654772,643178
GBR,EURO,67886004,703504,683116
GRC,EURO,10423056,132134,145102
HRV,EURO,4105268,57261,63085
HUN,EURO,9660350,141092,155418
IRL,EURO,4937796,31981,
IRN,EMRO,83992953,504872,
IRQ,EMRO,40222503,203651,
ISR,EURO,8655541,48753,50769
ITA,EURO,60461828,756293,717949
JPN,WPRO,126476458,1384544,
KAZ,EURO,18776707,160872,180287
KOR,WPRO,51269183,306226,318282
LTU,EURO,2722291,48299,52233
MEX,AMRO,128932753,1065357,
MUS,AFRO,1271767,11271,
NLD,EURO,17134873,170443,172409
NOR,EURO,5421242,40867,42046
NZL,WPRO,4822233,32745,34878
PER,AMRO,32971846,280706,
POL,EURO,37846605,478578,519896
ROU,EURO,19237682,297122,334239
RUS,EURO,145934460,2138586,
SGP,WPRO,5850343,27722,30463
SRB,EURO,8737370,133273,154700
SVK,EURO,5459643,59210,72685
SVN,EURO,2078932,24246,23192
SWE,EURO,10099270,102022,96755
TUN,EMRO,11818618,75058,
UKR,EURO,43733759,630859,
URY,AMRO,3473727,32638,
USA,AMRO,331002647,3504924,3583956
ZAF,AFRO,59308690,581618,
