Region,iso3c,Population,Deaths_2020,Deaths_2021
AFR,CPV,582664,2959 ,
AFR,MUS,1297836,11060,13274 
AFR,ZAF,58801925,583954,711556
AMR,ARG,45036031,377234 ,
AMR,BOL,11936172,74863,84301 
AMR,BRA,213196297,1556824,1855622 
AMR,CAN,37888711,307702,311956 
AMR,CHL,19300310,126169,137426 
AMR,COL,50930668,301432,363078 
AMR,CRI,5123118,26209,31081 
AMR,CUB,11300699,112449,167645 
AMR,DOM,10999673,45861,47799 
AMR,ECU,17588595,116397,105321 
AMR,GTM,17362729,96066,118093 
AMR,MEX,125998305,1071243,1102123 
AMR,NIC,6755901,33681 ,
AMR,PAN,4294407,23876 ,
AMR,PER,33304754,240919,264086 
AMR,PRY,6618699,35263,52711 
AMR,URY,3429084,32638,41168 
AMR,USA,335941996,3390165,3471759 
EMR,BHR,1477490,3488 ,
EMR,EGY,107465141,666200 ,
EMR,IRN,87290197,505080,531068 
EMR,IRQ,42556991,152901 ,
EMR,KWT,4360455,10569,23 
EMR,OMN,4543407,10589,12649 
EMR,TUN,12161729,75058 ,
EUR,ALB,2866849,27605,30580 
EUR,AUT,8907775,89879,89864 
EUR,AZE,10284962,75647,76878 
EUR,BEL,11561717,126748,112303 
EUR,BGR,6979184,124703,149040 
EUR,BIH,3318423,42803 ,
EUR,CHE,8638611,75994,71010 
EUR,CZE,10530961,129327,139876 
EUR,DEU,83328993,985106,1023653 
EUR,DNK,5825640,54621,57214 
EUR,ESP,47363802,492287,449041 
EUR,EST,1329450,15706,18355 
EUR,FIN,5529472,55435,57703 
EUR,FRA,64480059,654540,643748 
EUR,GBR,67059477,687182,667318 
EUR,GEO,3765911,50537,59906 
EUR,GRC,10512232,131033,143792 
EUR,HRV,4096876,56992,62873 
EUR,HUN,9750582,140997,155573 
EUR,IRL,4946128,32856 ,
EUR,ISR,8757489,48797,50756 
EUR,ITA,59500577,746146,709035 
EUR,KAZ,18979246,162613,183357 
EUR,KGZ,6424882,39977 ,
EUR,LTU,2820277,43516,47758 
EUR,LVA,1897052,28825,34587 
EUR,MDA,3084860,40716,45386 
EUR,NLD,17434561,168609,170756 
EUR,NOR,5379846,40598,42003 
EUR,POL,38428368,478138,519877 
EUR,PRT,10298190,123685,125188 
EUR,ROU,19442042,296880,335530 
EUR,RUS,145617325,2138586,2441594 
EUR,SRB,7358011,116850,135901 
EUR,SVK,5456689,59089,73461 
EUR,SVN,2117651,23960,23764 
EUR,SWE,10368965,95412,89019 
EUR,UKR,43909669,616835,714263 
EUR,UZB,33526665,175637,174540 
SEAR,THA,71475663,501438,563650 
WPR,AUS,25670047,162639,172012
WPR,BRN,441750,1752 ,
WPR,JPN,125244761,1384544,1452289 
WPR,KOR,51844686,305049,317506 
WPR,MNG,3294344,15922,19931 
WPR,MYS,33199999,166507 ,
WPR,NZL,5061135,32738,34908 
